px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0
0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0
1.55945	-0.138501	0	0	0	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0
1.68858	0.0388686	2.10286	0	0	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	49.2718
3.88994	-0.130615	2.54824	-0.104401	-0.0358033	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0.0846014
3.92325	0.201889	2.44759	0.101689	0.0305823	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	12.3973
6.86065	0.418293	3.67441	0.059144	-0.0185122	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0.1936
6.76008	0.497611	2.49817	0.127321	0.0270524	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	6.07469
9.07672	0.602716	2.22713	0.0154067	-0.0650838	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.228554
9.07876	0.904037	2.50745	0.203257	0.0623469	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	10.2612
11.5763	1.65988	2.8144	0.366807	0.129781	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.129064
11.5611	1.44357	2.53694	0.248734	0.0654027	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	5.31754
13.596	2.30232	1.9289	0.459097	0.162071	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.298828
13.7509	2.01581	2.47996	0.232783	-0.0342894	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	13.8091
16.6453	2.89338	3.6145	0.333902	0.0558233	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0.357244
16.4935	2.88364	2.89478	0.391799	0.14595	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	6.13348
19.0063	3.71793	2.51173	0.323366	0.00319084	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.558933
19.0181	3.80186	2.55777	0.364099	0.0330029	19.363	3.87122	18.923	3.74161	2.61382	0.95648	2.14325
21.3313	4.73211	2.5378	0.396366	0.0325128	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	5.07562e-05
21.4057	4.70062	2.81687	0.350659	-0.0119341	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	1.6091
24.0774	5.5725	2.92588	0.289137	-0.0449283	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.0303517
24.0882	5.80762	3.12085	0.407041	0.0322552	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	8.38258
26.6065	6.96124	2.55896	0.444513	0.0356993	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.0359608
26.666	6.9334	2.99015	0.401619	-0.0152861	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	1.90618
29.5847	8.08935	3.41365	0.353668	-0.0370122	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.033159
29.4823	8.24693	3.09534	0.461046	0.0470473	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	4.44342
31.9456	9.87319	2.90128	0.650851	0.142014	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0.23944
32.0218	9.57053	2.82183	0.491824	0.0283103	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	10.7761
34.6107	10.7073	2.96726	0.370943	-0.0710525	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	0.283975
34.6076	10.8515	3.03722	0.44363	-0.0203856	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	4.70413
37.1417	12.0871	2.73132	0.451526	-0.00162677	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.0198515
37.1833	12.1899	3.06542	0.481417	0.00884176	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	2.82307
40.3225	13.4744	3.82621	0.321155	-0.103715	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0.399055
40.0995	13.688	3.04257	0.473642	-0.000423222	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	14.4555
42.7642	14.8345	2.87508	0.373827	-0.0664353	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.115208
42.7115	15.027	3.12035	0.46975	-0.00569191	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	4.6714
45.3593	16.5483	3.10963	0.546306	0.0489903	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.076967
45.424	16.4428	3.12354	0.485194	0.00895185	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	2.24002
48.148	17.297	2.67561	0.229182	-0.167446	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0.842524
48.0444	17.5682	2.74292	0.371494	-0.071544	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	9.02022
50.6286	19.0538	3.27247	0.608116	0.132733	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	1.11849
50.6551	18.8203	2.94329	0.505441	0.0923117	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	6.57484
53.715	19.916	3.6311	0.251703	-0.138046	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	1.52299
53.5695	19.8761	2.84528	0.243338	-0.182555	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	6.7712
56.0391	21.0666	2.59357	0.50481	0.111152	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	2.25532
56.0462	21.0526	2.7044	0.489031	0.0940701	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.57496
58.6513	21.8041	2.72357	0.189306	-0.166958	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	1.78899
58.5944	21.9798	2.82378	0.295571	-0.0935319	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	3.67661
60.8759	22.7806	2.1475	0.331221	-0.00806326	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0.24132
60.9681	22.7193	2.64237	0.280027	-0.0411294	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	3.63476
63.3829	23.4053	2.49378	0.265866	-0.0232651	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.010732
63.3573	23.5903	2.51058	0.373663	0.0471399	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	5.73138
66.3274	24.0237	3.36407	-0.0319547	-0.252794	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	2.42673
66.1556	24.0463	2.55178	-0.0678021	-0.3912	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	8.55485
68.2608	24.3182	1.685	0.0802419	-0.0345002	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	3.87114
68.4143	24.5018	2.41635	0.258337	0.138745	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	12.9669
70.8229	24.9014	2.47479	0.151839	-0.0227021	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.708859
70.8512	24.7212	2.32488	0.0285654	-0.111476	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	3.90015
72.8933	24.7104	1.86934	-0.0403122	-0.0832715	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.0441082
