px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.35289	-5.2711	-2.96057	2.08827	0.195556	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	32.8505
7.43729	-5.41457	-2.96712	2.09929	0.195533	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0.170221
7.51949	-5.53864	-2.73049	2.11974	0.214392	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	2.88516
7.60173	-5.66852	-2.73468	2.13193	0.214691	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.188216
7.67051	-5.79525	-2.65769	2.12859	0.185132	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	4.08378
7.74928	-5.91947	-2.66073	2.13878	0.185021	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0.141374
7.85291	-6.08956	-3.66344	2.14146	0.171503	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	21.0712
7.95289	-6.2436	-3.66379	2.15009	0.171548	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0.00184198
8.05383	-6.35825	-2.71624	2.18693	0.225082	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	27.4288
8.14079	-6.47947	-2.71476	2.19938	0.225235	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.101307
8.20948	-6.60919	-2.72638	2.1791	0.161065	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	19.6108
8.29379	-6.73036	-2.72434	2.18766	0.160753	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0.193268
8.3699	-6.8669	-2.88689	2.17054	0.108679	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	13.0262
8.45675	-6.99497	-2.88054	2.17624	0.108592	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.163458
8.51619	-7.11233	-2.78572	2.15496	0.0541314	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	13.0275
8.59119	-7.22683	-2.78381	2.15737	0.0538007	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0.212041
8.6709	-7.39792	-3.62273	2.11771	-0.0344415	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	51.9454
8.76266	-7.55084	-3.61924	2.11572	-0.034662	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0.0891681
8.80986	-7.66069	-2.45341	2.09176	-0.0801354	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	35.2171
8.87361	-7.77502	-2.44773	2.08706	-0.0802955	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.134134
8.93915	-7.92517	-3.01498	2.05936	-0.129627	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	21.6815
9.00554	-8.05507	-3.00913	2.0524	-0.130044	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0.263675
9.03755	-8.16843	-2.29701	2.01368	-0.194938	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	30.7392
9.08716	-8.27916	-2.28933	2.00251	-0.19529	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.233517
9.14788	-8.4355	-3.01829	1.97853	-0.224364	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	15.9268
9.20258	-8.57029	-3.01208	1.96665	-0.225078	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0.319941
9.23433	-8.68913	-2.36318	1.93297	-0.266886	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	16.036
9.27542	-8.80698	-2.3552	1.91768	-0.267463	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.264527
9.38294	-9.02229	-4.18402	1.94485	-0.190859	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	103.154
9.45458	-9.21353	-4.1758	1.93473	-0.191315	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.394944
9.53432	-9.3047	-2.51342	1.97451	-0.0984163	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	88.7992
9.57781	-9.41477	-2.5027	1.96878	-0.0989616	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.581892
9.60715	-9.54424	-2.59764	1.93398	-0.154127	9.47534	-9.42627	9.55	-9.5	0	-3.00023	19.4932
9.64661	-9.65976	-2.58997	1.92508	-0.155289	9.54779	-9.64959	9.55	-9.65	0	-3.0002	1.05447
9.67555	-9.83778	-3.30042	1.87241	-0.238863	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	54.3539
9.71669	-9.98868	-3.28913	1.85917	-0.240008	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.884883
9.74102	-10.1079	-2.44325	1.83548	-0.259233	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	16.541
9.76853	-10.2303	-2.42708	1.82014	-0.259972	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	1.00379
9.81006	-10.3565	-2.59195	1.81872	-0.238863	9.92627	-10.4745	9.75	-10.3	0	-3.00065	3.77311
9.83653	-10.4776	-2.58739	1.8057	-0.239974	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.701991
9.8615	-10.6541	-3.08945	1.77356	-0.274442	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	12.3256
9.88899	-10.8148	-3.07784	1.75723	-0.275512	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.59484
9.89559	-10.9454	-2.51575	1.72209	-0.311277	9.88465	-10.9383	9.85	-10.9	0	-2.73074	11.1402
9.90948	-11.0758	-2.50711	1.70352	-0.312672	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.723536
9.90728	-11.2342	-2.91342	1.66155	-0.358702	9.83952	-11.1692	9.85	-11.2	0	-2.99965	15.259
